Model,Precision,Recall,F1-Score,F2-Score
Logistic Regression,0.19069767441860466,0.8631578947368421,0.31238095238095237,0.5061728395061729
Random Forest,0.8705882352941177,0.7789473684210526,0.8222222222222222,0.7956989247311828
